house_index,bedrooms,property_type,property_subtype,locality,postal_code,street,number,box,kitchen,facades,price,furnished,terrace,terraceSurface,fireplace,fireplaceCount,buildingState,garden,gardenSurface,pool,landSurface,livingArea,surfaceOfThePlot,typeOfSale
6931,4,HOUSE,HOUSE,Tremelo,3120,,,,1,4.0,599000.0,0,1,,0,0,GOOD,0,0,0,2428.0,222.0,2428.0,
2680,2,APARTMENT,APARTMENT,Wenduine,8420,Zeedijk-Wenduine,78,0001,1,,265000.0,0,0,0.0,0,0,TO_BE_DONE_UP,0,0,0,,73.0,,UnderOption
6668,2,APARTMENT,APARTMENT,BRUXELLES,1000,,,,0,2.0,287000.0,0,1,3.0,0,0,,0,0,0,,80.0,,
970,3,HOUSE,HOUSE,Hamme (9220),9220,Evangeliestraat,73,,0,,235000.0,0,0,0.0,0,0,TO_RENOVATE,0,0,0,778.0,134.0,778.0,
12929,4,HOUSE,HOUSE,Wavre,1300,Avenue des Fougères,5,,1,4.0,499000.0,0,1,50.0,0,0,GOOD,0,0,1,1297.0,189.0,1297.0,UnderOption
7877,4,HOUSE,HOUSE,Berchem,2600,Granaatstraat,23,,0,2.0,349000.0,0,0,0.0,0,0,,0,0,0,95.0,382.0,95.0,PublicSale
19606,6,HOUSE,EXCEPTIONAL_PROPERTY,Waterloo,1410,,,,1,4.0,1495000.0,0,1,1.0,0,0,AS_NEW,1,1,0,2033.0,458.0,2033.0,
12530,3,HOUSE,VILLA,WAREGEM,8790,Koetsierstraat,10,,1,4.0,499000.0,0,1,,1,1,GOOD,0,0,0,600.0,160.0,600.0,
3059,4,HOUSE,HOUSE,Ingelmunster,8770,Beelshoek,13,,1,,330000.0,0,0,0.0,0,0,TO_RENOVATE,0,0,0,935.0,192.0,935.0,
7468,2,HOUSE,BUNGALOW,DURBUY,6940,Rue d'Andenne,20/173,173,0,4.0,79500.0,1,1,,0,0,,0,0,0,0.0,74.0,0.0,
8137,3,APARTMENT,GROUND_FLOOR,DEURNE,2100,Ter Rivierenlaan,241,1,1,3.0,285000.0,0,1,4.0,0,0,AS_NEW,0,0,0,,125.0,,
4069,1,APARTMENT,PENTHOUSE,Sint-Idesbald,8670,Lucionplein,1,,0,,325000.0,0,1,,0,0,GOOD,0,0,0,,,,
16109,0,HOUSE,HOUSE,Buggenhout,9255,Kuipstraat,2,,1,,699000.0,0,0,0.0,0,0,,0,0,0,3118.0,300.0,3118.0,
3968,1,APARTMENT,APARTMENT,De Haan,8420,Torenhofstraat,2,L105,0,,97000.0,0,0,0.0,0,0,AS_NEW,0,0,0,,32.0,,
10311,3,HOUSE,HOUSE,Oostkamp,8020,Watersnipstraat,12,,1,,435000.0,0,0,0.0,0,0,GOOD,0,0,0,270.0,140.0,270.0,
